time,open,high,low,close,volume
2021-02-16 15:07:00,49.3533,49.435,49.28,49.28,8210
2021-02-16 15:06:00,49.3472,49.4,49.28,49.34,6894
2021-02-16 15:05:00,49.285,49.41,49.2647,49.3999,7649
2021-02-16 15:04:00,49.24,49.3299,49.206,49.29,8238
2021-02-16 15:03:00,49.2399,49.24,49.1709,49.24,3770
2021-02-16 15:02:00,49.25,49.3,49.18,49.2136,10190
2021-02-16 15:01:00,49.34,49.37,49.25,49.305,5565
2021-02-16 15:00:00,49.59,49.59,49.25,49.25,19894
2021-02-16 14:59:00,49.565,49.6306,49.5452,49.582,4432
2021-02-16 14:58:00,49.325,49.5906,49.325,49.5906,18920
2021-02-16 14:57:00,49.302,49.37,49.3001,49.37,5820
2021-02-16 14:56:00,49.3099,49.3999,49.2501,49.3,10373
2021-02-16 14:55:00,49.215,49.2985,49.2,49.2985,5069
2021-02-16 14:54:00,49.188,49.24,49.188,49.2373,4522
2021-02-16 14:53:00,49.23,49.2737,49.19,49.223,11055
2021-02-16 14:52:00,49.28,49.2899,49.12,49.245,28544
2021-02-16 14:51:00,49.46,49.47,49.3,49.3,22079
2021-02-16 14:50:00,49.4201,49.5063,49.418,49.4599,4262
2021-02-16 14:49:00,49.4801,49.55,49.44,49.475,12715
2021-02-16 14:48:00,49.6373,49.6373,49.45,49.45,6283
2021-02-16 14:47:00,49.5832,49.61,49.54,49.5937,6583
2021-02-16 14:46:00,49.65,49.67,49.54,49.54,7003
2021-02-16 14:45:00,49.69,49.7273,49.6101,49.69,11092
2021-02-16 14:44:00,49.5,49.7299,49.4628,49.69,22636
2021-02-16 14:43:00,49.52,49.56,49.515,49.515,6960
2021-02-16 14:42:00,49.5001,49.59,49.5,49.54,16163
2021-02-16 14:41:00,49.415,49.59,49.4,49.59,9541
2021-02-16 14:40:00,49.37,49.45,49.37,49.41,7764
2021-02-16 14:39:00,49.3833,49.39,49.3101,49.37,4416
2021-02-16 14:38:00,49.27,49.4,49.24,49.4,8011
2021-02-16 14:37:00,49.2132,49.2922,49.2132,49.2922,3999
2021-02-16 14:36:00,49.3,49.37,49.25,49.25,7210
2021-02-16 14:35:00,49.2001,49.34,49.2,49.3347,12511
2021-02-16 14:34:00,49.2,49.28,49.17,49.2001,12011
2021-02-16 14:33:00,49.2,49.23,49.1601,49.2199,7667
2021-02-16 14:32:00,49.25,49.25,49.18,49.2,8731
2021-02-16 14:31:00,49.28,49.28,49.17,49.17,4619
2021-02-16 14:30:00,49.2211,49.3,49.19,49.2693,8612
2021-02-16 14:29:00,49.22,49.34,49.17,49.2896,12305
2021-02-16 14:28:00,49.13,49.23,49.08,49.215,12351
2021-02-16 14:27:00,49.25,49.2609,49.05,49.06,20756
2021-02-16 14:26:00,49.24,49.32,49.23,49.29,8859
2021-02-16 14:25:00,49.21,49.31,49.21,49.2301,12967
2021-02-16 14:24:00,49.12,49.28,49.1062,49.22,12250
2021-02-16 14:23:00,49.1177,49.2,49.04,49.09,34363
2021-02-16 14:22:00,49.28,49.28,49.11,49.15,23962
2021-02-16 14:21:00,49.27,49.3199,49.21,49.21,4364
2021-02-16 14:20:00,49.2515,49.302,49.204,49.292,6429
2021-02-16 14:19:00,49.33,49.33,49.16,49.31,24995
2021-02-16 14:18:00,49.42,49.4714,49.4,49.4,6093
2021-02-16 14:17:00,49.38,49.5,49.38,49.43,7903
2021-02-16 14:16:00,49.54,49.67,49.3301,49.36,28746
2021-02-16 14:15:00,49.6299,49.74,49.4234,49.57,29815
2021-02-16 14:14:00,49.3932,49.6399,49.2724,49.6374,31070
2021-02-16 14:13:00,49.35,49.4885,49.25,49.4,29190
2021-02-16 14:12:00,49.385,49.42,49.35,49.4,5966
2021-02-16 14:11:00,49.3999,49.4,49.3,49.35,4974
2021-02-16 14:10:00,49.37,49.4189,49.3101,49.3567,13407
2021-02-16 14:09:00,49.3,49.42,49.3,49.3701,9214
2021-02-16 14:08:00,49.2347,49.36,49.2001,49.349,11229
2021-02-16 14:07:00,49.22,49.24,49.15,49.234,7135
2021-02-16 14:06:00,49.1857,49.29,49.15,49.24,16376
2021-02-16 14:05:00,49.26,49.2907,49.1716,49.23,10186
2021-02-16 14:04:00,49.35,49.35,49.24,49.2505,9258
2021-02-16 14:03:00,49.52,49.5328,49.33,49.35,10411
2021-02-16 14:02:00,49.5,49.6,49.44,49.56,10966
2021-02-16 14:01:00,49.4399,49.5393,49.4399,49.5393,6265
2021-02-16 14:00:00,49.4363,49.4363,49.312,49.37,7973
2021-02-16 13:59:00,49.4,49.4799,49.3687,49.42,5439
2021-02-16 13:58:00,49.2911,49.45,49.2911,49.43,7734
2021-02-16 13:57:00,49.25,49.45,49.25,49.3499,5198
2021-02-16 13:56:00,49.3,49.3,49.2,49.2893,5857
2021-02-16 13:55:00,49.37,49.4063,49.17,49.17,14624
2021-02-16 13:54:00,49.4,49.5,49.35,49.4,9278
2021-02-16 13:53:00,49.28,49.47,49.23,49.395,8148
2021-02-16 13:52:00,49.22,49.31,49.1801,49.29,18444
2021-02-16 13:51:00,49.2401,49.2759,49.12,49.22,77965
2021-02-16 13:50:00,49.41,49.41,49.19,49.25,77487
2021-02-16 13:49:00,49.36,49.54,49.31,49.41,10584
2021-02-16 13:48:00,49.48,49.572,49.32,49.3985,10753
2021-02-16 13:47:00,49.44,49.5012,49.36,49.3875,13206
2021-02-16 13:46:00,49.5401,49.625,49.39,49.4421,21696
2021-02-16 13:45:00,49.67,49.7,49.54,49.61,9151
2021-02-16 13:44:00,49.54,49.7304,49.47,49.67,15608
2021-02-16 13:43:00,49.55,49.58,49.5,49.54,12006
2021-02-16 13:42:00,49.56,49.65,49.4,49.65,64348
2021-02-16 13:41:00,49.785,49.8114,49.58,49.58,14762
2021-02-16 13:40:00,49.6906,49.8465,49.64,49.8001,11373
2021-02-16 13:39:00,49.72,49.78,49.65,49.69,14267
2021-02-16 13:38:00,49.68,50.1,49.65,49.7143,41999
2021-02-16 13:37:00,49.75,49.75,49.45,49.6789,52097
2021-02-16 13:36:00,49.9199,49.92,49.75,49.78,22524
2021-02-16 13:35:00,50.2,50.2,49.76,49.9,54691
2021-02-16 13:34:00,50.27,50.31,49.99,50.28,35331
